,open
0,1787.417
1,1784.447
2,1781.871
3,1780.909
4,1779.914
5,1777.511
6,1778.862
7,1782.073
8,1781.47
9,1785.325
10,1789.027
11,1789.123
12,1786.903
13,1788.912
14,1784.21
15,1780.609
16,1783.152
17,1782.687
18,1780.865
19,1780.076
20,1781.041
21,1780.225
22,1780.903
23,1779.026
24,1781.035
25,1782.955
26,1783.892
27,1785.249
28,1785.885
29,1786.494
30,1787.492
31,1785.438
32,1782.556
33,1781.762
34,1784.921
35,1784.534
36,1782.078
37,1781.555
38,1782.476
39,1784.936
40,1783.863
41,1782.729
42,1782.712
43,1782.457
44,1781.435
45,1778.201
46,1778.669
47,1779.223
48,1785.627
49,1787.927
50,1786.959
51,1787.612
52,1786.273
53,1785.917
54,1785.345
55,1787.959
56,1788.12
57,1790.321
58,1790.854
59,1799.907
60,1803.205
61,1804.185
62,1804.666
63,1803.111
64,1804.273
65,1804.986
66,1803.767
67,1804.979
68,1804.845
69,1804.768
70,1801.989
71,1804.115
72,1802.839
73,1801.083
74,1801.958
75,1803.41
76,1803.527
77,1801.956
78,1802.002
79,1802.926
80,1804.368
81,1804.192
82,1807.823
83,1806.773
84,1804.544
85,1806.633
86,1806.284
87,1805.547
88,1805.96
89,1803.117
90,1802.663
91,1802.415
92,1801.772
93,1795.879
94,1794.588
95,1795.911
96,1794.85
97,1794.204
98,1795.032
99,1793.582
